OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2306,2014-11-18T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,29
2307,2014-11-18T16:00:00.000Z,AV,Copacabana,PI,Boa,30
2308,2014-11-18T16:00:00.000Z,SP,Tijuca,O3,Boa,32
2309,2014-11-18T16:00:00.000Z,SC,São Cristóvão,O3,Boa,33
2310,2014-11-18T16:00:00.000Z,IR,Irajá,O3,Regular,51
2311,2014-11-18T16:00:00.000Z,CG,Campo Grande,O3,Regular,53
2312,2014-11-18T16:00:00.000Z,BG,Bangu,O3,Regular,62
2313,2014-11-19T16:00:00.000Z,CA,Centro,PI,Boa,25
2314,2014-11-19T16:00:00.000Z,AV,Copacabana,PI,Boa,32
2315,2014-11-19T16:00:00.000Z,SC,São Cristóvão,O3,Boa,32
2316,2014-11-19T16:00:00.000Z,SP,Tijuca,O3,Boa,34
2317,2014-11-19T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,38
2318,2014-11-19T16:00:00.000Z,IR,Irajá,O3,Regular,53
2319,2014-11-19T16:00:00.000Z,BG,Bangu,O3,Regular,74
2320,2014-11-19T16:00:00.000Z,CG,Campo Grande,O3,Regular,76
2321,2014-11-20T16:00:00.000Z,CA,Centro,PI,Boa,31
2322,2014-11-20T16:00:00.000Z,AV,Copacabana,PI,Boa,42
2323,2014-11-20T16:00:00.000Z,SC,São Cristóvão,O3,Boa,42
2324,2014-11-20T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,43
2325,2014-11-20T16:00:00.000Z,SP,Tijuca,O3,Boa,48
2326,2014-11-20T16:00:00.000Z,IR,Irajá,O3,Regular,60
2327,2014-11-20T16:00:00.000Z,CG,Campo Grande,O3,Regular,90
2328,2014-11-20T16:00:00.000Z,BG,Bangu,O3,Regular,96
2329,2014-11-21T16:00:00.000Z,CG,Campo Grande,O3,Inadequada,122
2330,2014-11-21T16:00:00.000Z,BG,Bangu,O3,Inadequada,174
2331,2014-11-21T16:00:00.000Z,CA,Centro,PI,Boa,36
2332,2014-11-21T16:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,50
2333,2014-11-21T16:00:00.000Z,AV,Copacabana,PI,Regular,52
2334,2014-11-21T16:00:00.000Z,SC,São Cristóvão,O3,Regular,52
2335,2014-11-21T16:00:00.000Z,SP,Tijuca,O3,Regular,58
2336,2014-11-21T16:00:00.000Z,IR,Irajá,O3,Regular,78
2337,2014-11-22T16:00:00.000Z,IR,Irajá,O3,Inadequada,131
2338,2014-11-22T16:00:00.000Z,BG,Bangu,O3,Inadequada,167
2339,2014-11-22T16:00:00.000Z,CA,Centro,O3,Regular,57
2340,2014-11-22T16:00:00.000Z,SC,São Cristóvão,O3,Regular,60
2341,2014-11-22T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,60
2342,2014-11-22T16:00:00.000Z,AV,Copacabana,PI,Regular,67
2343,2014-11-22T16:00:00.000Z,SP,Tijuca,O3,Regular,90
2344,2014-11-22T16:00:00.000Z,CG,Campo Grande,O3,Regular,93
2345,2014-11-23T16:00:00.000Z,CA,Centro,O3,Boa,43
2346,2014-11-23T16:00:00.000Z,SC,São Cristóvão,O3,Regular,54
2347,2014-11-23T16:00:00.000Z,SP,Tijuca,O3,Regular,55
2348,2014-11-23T16:00:00.000Z,CG,Campo Grande,O3,Regular,57
2349,2014-11-23T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,60
2350,2014-11-23T16:00:00.000Z,AV,Copacabana,PI,Regular,63
2351,2014-11-23T16:00:00.000Z,IR,Irajá,O3,Regular,68
2352,2014-11-23T16:00:00.000Z,BG,Bangu,O3,Regular,79
2353,2014-11-24T16:00:00.000Z,CA,Centro,PI,Boa,38
2354,2014-11-24T16:00:00.000Z,SC,São Cristóvão,PI,Boa,39
2355,2014-11-24T16:00:00.000Z,SP,Tijuca,PI,Boa,41
2356,2014-11-24T16:00:00.000Z,CG,Campo Grande,O3,Boa,43
