ARTUR NOGUEIRA,3503802,CAMPINAS (AEROPORTO),SBKP,83721,48.88
ARTUR NOGUEIRA,3503802,PIRASSUNUNGA,SBYS,83671,68.43
ARTUR NOGUEIRA,3503802,SAO CARLOS,SBSA,83726,96.77
ARUJÁ,3503901,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,13.5
ARUJÁ,3503901,SAO PAULO,SBXP,83781,31.08
ARUJÁ,3503901,SAO PAULO (CAMPO DE MARTE),SBMT,83779,32.11
ASPÁSIA,3503950,ARACATUBA,SBAU,83672,109.69
ASPÁSIA,3503950,URUBUPUNGA,SBUP,83617,111.44
ASPÁSIA,3503950,SAO JOSE DO RIO PRET,SBSR,-,154.25
ASSIS,3504008,ASSIS - S,SBAS,-,4.33
ASSIS,3504008,MARILHA - SP,SBML,-,69.65
ASSIS,3504008,LONDRINA (AEROPORTO),SBLO,83768,107.24
ATIBAIA,3504107,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,34.98
ATIBAIA,3504107,SAO PAULO,SBXP,83781,41.82
ATIBAIA,3504107,SAO PAULO (CAMPO DE MARTE),SBMT,83779,44.04
AURIFLAMA,3504206,ARACATUBA,SBAU,83672,56.29
AURIFLAMA,3504206,URUBUPUNGA,SBUP,83617,104.33
AURIFLAMA,3504206,SAO JOSE DO RIO PRET,SBSR,-,124.04
AVAÍ,3504305,BAURU (AEROPORTO),SBBU,83722,29.39
AVAÍ,3504305,MARILHA - SP,SBML,-,62.11
AVAÍ,3504305,LINS,SBLN,83674,72.82
AVANHANDAVA,3504404,LINS,SBLN,83674,30.92
AVANHANDAVA,3504404,ARACATUBA,SBAU,83672,62.12
AVANHANDAVA,3504404,MARILHA - SP,SBML,-,80.08
AVARÉ,3504503,BAURU (AEROPORTO),SBBU,83722,85.56
AVARÉ,3504503,MARILHA - SP,SBML,-,145.01
AVARÉ,3504503,GAVIAO PEIXOTO,SBGP,-,153.12
BADY BASSITT,3504602,SAO JOSE DO RIO PRET,SBSR,-,7.35
BADY BASSITT,3504602,FRONTERA-MG,SBFT,-,63.27
BADY BASSITT,3504602,BARRETOS,SBBT,83625,81.51
BALBINOS,3504701,LINS,SBLN,83674,49.55
BALBINOS,3504701,BAURU (AEROPORTO),SBBU,83722,54.8
BALBINOS,3504701,MARILHA - SP,SBML,-,68.37
BÁLSAMO,3504800,SAO JOSE DO RIO PRET,SBSR,-,18.82
BÁLSAMO,3504800,FRONTERA-MG,SBFT,-,61.42
BÁLSAMO,3504800,BARRETOS,SBBT,83625,100.11
BANANAL,3504909,RESENDE,SBRS,83738,32.86
BANANAL,3504909,SANTA CRUZ (BORTOLOMEU GUSMAO AERO),SBSC,83115,66.22
BANANAL,3504909,GUARATINGUETA (AEROPORTO),SBGW,83708,88.74
BARÃO DE ANTONINA,3505005,TELEMACO BORBA,SBTL,-,137.06
BARÃO DE ANTONINA,3505005,ASSIS - S,SBAS,-,139.09
BARÃO DE ANTONINA,3505005,BAURU (AEROPORTO),SBBU,83722,149.43
BARBOSA,3505104,LINS,SBLN,83674,45.81
BARBOSA,3505104,ARACATUBA,SBAU,83672,55.92
BARBOSA,3505104,SAO JOSE DO RIO PRET,SBSR,-,76.47
BARIRI,3505203,BAURU (AEROPORTO),SBBU,83722,45.91
BARIRI,3505203,GAVIAO PEIXOTO,SBGP,-,46.51
BARIRI,3505203,ARARAQUARA-S,SBAQ,-,67.51
BARRA BONITA,3505302,BAURU (AEROPORTO),SBBU,83722,57.19
BARRA BONITA,3505302,GAVIAO PEIXOTO,SBGP,-,80.11
BARRA BONITA,3505302,SAO CARLOS,SBSA,83726,85.82
BARRA DO CHAPÉU,3505351,CURITIBA,SBBI,83842,107.29
BARRA DO CHAPÉU,3505351,CURITIBA (AEROPORTO),SBCT,83840,119.93
BARRA DO CHAPÉU,3505351,PONTA GROSSA,SBGS,83837,131.66
BARRA DO TURVO,3505401,PARANAGUA,SBPG,83844,70.84
BARRA DO TURVO,3505401,CURITIBA,SBBI,83842,98.82
BARRA DO TURVO,3505401,CURITIBA (AEROPORTO),SBCT,83840,102.55
BARRETOS,3505500,BARRETOS,SBBT,83625,9.1
BARRETOS,3505500,FRONTERA-MG,SBFT,-,60.88
BARRETOS,3505500,SAO JOSE DO RIO PRET,SBSR,-,84.06
BARRINHA,3505609,RIBEIRAO PRETO,SBRP,83668,35.24
BARRINHA,3505609,ARARAQUARA-S,SBAQ,-,62.81
BARRINHA,3505609,GAVIAO PEIXOTO,SBGP,-,67.62
BARUERI,3505708,SAO PAULO,SBXP,83781,14.82
BARUERI,3505708,SAO PAULO (CAMPO DE MARTE),SBMT,83779,16.81
BARUERI,3505708,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,22.78
BASTOS,3505807,PRESIDENTE PRUDENTE,SBDN,83716,75.16
BASTOS,3505807,ASSIS - S,SBAS,-,81.48
BASTOS,3505807,MARILHA - SP,SBML,-,88.72
BATATAIS,3505906,RIBEIRAO PRETO,SBRP,83668,34.7
BATATAIS,3505906,FRANCA,SBFC,83630,35.25
BATATAIS,3505906,BARRETOS,SBBT,83625,111.25
BAURU,3506003,BAURU (AEROPORTO),SBBU,83722,10.5
BAURU,3506003,MARILHA - SP,SBML,-,79.82
BAURU,3506003,LINS,SBLN,83674,90.28
BEBEDOURO,3506102,BARRETOS,SBBT,83625,41.09
BEBEDOURO,3506102,RIBEIRAO PRETO,SBRP,83668,79.46
BEBEDOURO,3506102,GAVIAO PEIXOTO,SBGP,-,93
BENTO DE ABREU,3506201,ARACATUBA,SBAU,83672,50.06
BENTO DE ABREU,3506201,URUBUPUNGA,SBUP,83617,94.31
BENTO DE ABREU,3506201,PRESIDENTE PRUDENTE,SBDN,83716,111.09
BERNARDINO DE CAMPOS,3506300,BAURU (AEROPORTO),SBBU,83722,90.21
BERNARDINO DE CAMPOS,3506300,MARILHA - SP,SBML,-,104.44
BERNARDINO DE CAMPOS,3506300,ASSIS - S,SBAS,-,107.91
BERTIOGA,3506359,SANTOS (AEROPORTO),SBST,83818,30.41
BERTIOGA,3506359,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,79.19
BERTIOGA,3506359,SAO PAULO (CAMPO DE MARTE),SBMT,83779,86.65
BILAC,3506409,ARACATUBA,SBAU,83672,33.43
BILAC,3506409,LINS,SBLN,83674,79.81
BILAC,3506409,MARILHA - SP,SBML,-,101.49
BIRIGUI,3506508,ARACATUBA,SBAU,83672,16.64
BIRIGUI,3506508,LINS,SBLN,83674,77.2
BIRIGUI,3506508,SAO JOSE DO RIO PRET,SBSR,-,111.42
BIRITIBA-MIRIM,3506607,SANTOS (AEROPORTO),SBST,83818,38.1
BIRITIBA-MIRIM,3506607,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,44.99
BIRITIBA-MIRIM,3506607,SAO JOSE DOS CAMPOS (AEROPORTO),SBSJ,83829,50.3
BOA ESPERANÇA DO SUL,3506706,GAVIAO PEIXOTO,SBGP,-,19.28
BOA ESPERANÇA DO SUL,3506706,ARARAQUARA-S,SBAQ,-,37.48
BOA ESPERANÇA DO SUL,3506706,SAO CARLOS,SBSA,83726,61.98
BOCAINA,3506805,GAVIAO PEIXOTO,SBGP,-,39.82
BOCAINA,3506805,ARARAQUARA-S,SBAQ,-,53.62
BOCAINA,3506805,BAURU (AEROPORTO),SBBU,83722,60.33
BOFETE,3506904,CAMPINAS (AEROPORTO),SBKP,83721,119.93
BOFETE,3506904,BAURU (AEROPORTO),SBBU,83722,120.67
BOFETE,3506904,SAO ROQUE,SBRQ,83058,126.61
BOITUVA,3507001,SAO ROQUE,SBRQ,83058,62.04
BOITUVA,3507001,CAMPINAS (AEROPORTO),SBKP,83721,65.02
BOITUVA,3507001,SAO PAULO,SBXP,83781,110.02
BOM JESUS DOS PERDÕES,3507100,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,31.36
BOM JESUS DOS PERDÕES,3507100,SAO PAULO,SBXP,83781,42.52
BOM JESUS DOS PERDÕES,3507100,SAO PAULO (CAMPO DE MARTE),SBMT,83779,44.63
BOM SUCESSO DE ITARARÉ,3507159,CURITIBA,SBBI,83842,120.48
BOM SUCESSO DE ITARARÉ,3507159,PONTA GROSSA,SBGS,83837,133.6
BOM SUCESSO DE ITARARÉ,3507159,CURITIBA (AEROPORTO),SBCT,83840,133.65
BORÁ,3507209,ASSIS - S,SBAS,-,43.09
BORÁ,3507209,MARILHA - SP,SBML,-,60.45
BORÁ,3507209,PRESIDENTE PRUDENTE,SBDN,83716,95.71
BORACÉIA,3507308,BAURU (AEROPORTO),SBBU,83722,33.35
BORACÉIA,3507308,GAVIAO PEIXOTO,SBGP,-,59.94
BORACÉIA,3507308,ARARAQUARA-S,SBAQ,-,79.47
BORBOREMA,3507407,LINS,SBLN,83674,70.56
BORBOREMA,3507407,GAVIAO PEIXOTO,SBGP,-,71.45
BORBOREMA,3507407,BAURU (AEROPORTO),SBBU,83722,78.77
BOREBI,3507456,BAURU (AEROPORTO),SBBU,83722,40.84
BOREBI,3507456,MARILHA - SP,SBML,-,110.44
BOREBI,3507456,GAVIAO PEIXOTO,SBGP,-,118.1
BOTUCATU,3507506,BAURU (AEROPORTO),SBBU,83722,86.4
BOTUCATU,3507506,SAO CARLOS,SBSA,83726,112.17
BOTUCATU,3507506,GAVIAO PEIXOTO,SBGP,-,121.8
BRAGANÇA PAULISTA,3507605,SAO PAULO (AEROP. DE GUARULHOS),SBGR,83778,54.1
BRAGANÇA PAULISTA,3507605,CAMPINAS (AEROPORTO),SBKP,83721,58.15
BRAGANÇA PAULISTA,3507605,SAO PAULO,SBXP,83781,62.62
BRAÚNA,3507704,ARACATUBA,SBAU,83672,48.1
BRAÚNA,3507704,LINS,SBLN,83674,62.27
BRAÚNA,3507704,MARILHA - SP,SBML,-,81.93
BREJO ALEGRE,3507753,ARACATUBA,SBAU,83672,23.62
BREJO ALEGRE,3507753,LINS,SBLN,83674,72.51
BREJO ALEGRE,3507753,SAO JOSE DO RIO PRET,SBSR,-,93.71
BRODOWSKI,3507803,RIBEIRAO PRETO,SBRP,83668,16.72
BRODOWSKI,3507803,FRANCA,SBFC,83630,56.02
BRODOWSKI,3507803,ARARAQUARA-S,SBAQ,-,98.39
BROTAS,3507902,SAO CARLOS,SBSA,83726,35.54
BROTAS,3507902,ARARAQUARA-S,SBAQ,-,52.81
BROTAS,3507902,GAVIAO PEIXOTO,SBGP,-,64.85
BURI,3508009,SAO ROQUE,SBRQ,83058,150.47
BURI,3508009,BAURU (AEROPORTO),SBBU,83722,167.07
BURI,3508009,CAMPINAS (AEROPORTO),SBKP,83721,170.45
BURITAMA,3508108,ARACATUBA,SBAU,83672,25.53
BURITAMA,3508108,LINS,SBLN,83674,82.84
BURITAMA,3508108,SAO JOSE DO RIO PRET,SBSR,-,87.54
BURITIZAL,3508207,FRANCA,SBFC,83630,49.65
BURITIZAL,3508207,UBERABA (AEROPORTO),SBUR,83576,56.63
BURITIZAL,3508207,RIBEIRAO PRETO,SBRP,83668,101.77
CABRÁLIA PAULISTA,3508306,BAURU (AEROPORTO),SBBU,83722,36.27
CABRÁLIA PAULISTA,3508306,MARILHA - SP,SBML,-,65.93
CABRÁLIA PAULISTA,3508306,LINS,SBLN,83674,98.95
CABREÚVA,3508405,SAO ROQUE,SBRQ,83058,24.33
CABREÚVA,3508405,CAMPINAS (AEROPORTO),SBKP,83721,33.98
CABREÚVA,3508405,SAO PAULO,SBXP,83781,52.1
CAÇAPAVA,3508504,SAO JOSE DOS CAMPOS (AEROPORTO),SBSJ,83829,20.51
CAÇAPAVA,3508504,TAUBATE-SP (BASE AVIACAO TAUBATE,SBTA,-,23.33
CAÇAPAVA,3508504,PINDAMONHANGABA,SBPW,83706,28.18
CACHOEIRA PAULISTA,3508603,GUARATINGUETA (AEROPORTO),SBGW,83708,22.39
CACHOEIRA PAULISTA,3508603,PINDAMONHANGABA,SBPW,83706,57.96
CACHOEIRA PAULISTA,3508603,RESENDE,SBRS,83738,59.73
CACONDE,3508702,POCOS DE CALDAS (AEROPORTO),SBPC,83644,34.86
CACONDE,3508702,PIRASSUNUNGA,SBYS,83671,87.01
